Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TSLA,300.34,2018/04/13,16:00 EDT,6.26001,303.6,303.88,295.98,7000297,,,,,,,
AMD,9.93,2018/04/13,16:00 EDT,-0.14999962,10.2,10.22,9.88,37228086,,,,,,,
INTC,51.86,2018/04/13,16:00 EDT,-0.8600006,53.06,53.2,51.6,18881720,,,,,,,
TXN,102.16,2018/04/13,16:00 EDT,-2.0799942,104.95,105.0,101.9,3184118,,,,,,,
SNE,48.89,2018/04/13,16:00 EDT,-0.25,49.12,49.14,48.61,699915,,,,,,,
SQNXF,43.4075,2018/04/06,11:37 EDT,0.0,0.0,0.0,0.0,34,,,,,,,
NVDA,231.5,2018/04/13,16:00 EDT,-3.100006,237.17,237.5,229.55,12216032,,,,,,,
CVS,63.43,2018/04/13,16:01 EDT,-0.5699997,64.23,64.4,62.665,5825185,,,,,,,
HAS,87.76,2018/04/13,16:00 EDT,0.9300003,87.03,87.92,86.62,1107444,,,,,,,
MSFT,93.08,2018/04/13,16:00 EDT,-0.5,94.05,94.18,92.44,19705383,,,,,,,
GOOG,1029.27,2018/04/13,16:00 EDT,-3.2399902,1040.88,1046.3,1022.98,1148725,,,,,,,
IBM,156.71,2018/04/13,16:00 EDT,-1.3600006,158.67,159.22,155.91,4057058,,,,,,,
